商品名,価格,原価,販売数,売上,粗利
"生ビール","550","150","820","451000","328000"
"ハイボール","450","80","620","279000","229400"
"レモンサワー","450","100","510","229500","178500"
"お通し","350","80","920","322000","248400"
"焼き鳥盛り合わせ","980","320","285","279300","188100"
"唐揚げ","580","180","360","208800","144000"
"枝豆","380","80","410","155800","123000"
"刺身盛り合わせ","1480","600","145","214600","127600"
"出汁巻き卵","580","150","210","121800","90300"
"ポテトフライ","480","120","225","108000","81000"
"もつ煮込み","580","180","185","107300","74000"
"餃子","520","150","165","85800","61050"
"日本酒（一合）","680","220","145","98600","66700"
"ホッケ焼き","980","400","85","83300","49300"
"牛タン塩焼き","1280","600","68","87040","46240"
"カルパッチョ","780","320","92","71760","42320"
"〆のラーメン","780","250","105","81900","55650"
"茶漬け","580","150","88","51040","37840"
"季節のサラダ","680","220","62","42160","28520"
"冷やしトマト","380","120","72","27360","18720"
